time,filename,pathname,exception name,exception data,error report filename
Thu Dec 29 17:31:53 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.OSError,[Errno 2] No such file or directory: '../data/cache',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-31-53-90030.html
Thu Dec 29 17:43:41 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.OSError,[Errno 2] No such file or directory: '../../site/stylesheets',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-43-41-43668.html
Thu Dec 29 17:44:09 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.RuntimeError,"Error: Error in XQuery expression: parse error, unexpected $, line 1, column 27",/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-44-09-98891.html
Thu Dec 29 17:44:56 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.RuntimeError,"Error: Error in XQuery expression: parse error, unexpected $, line 1, column 27",/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-44-56-59383.html
Thu Dec 29 17:45:05 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.AttributeError,'NoneType' object has no attribute 'applyStylesheet',/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-45-05-35458.html
Thu Dec 29 17:57:43 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.SyntaxError,"invalid syntax (Main.py, line 20)",/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-57-43-67250.html
Thu Dec 29 17:58:09 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.NameError,global name 'XMLFragment' is not defined,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-58-09-60187.html
Thu Dec 29 17:58:55 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.NameError,global name 'libxml2' is not defined,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-58-55-42033.html
Thu Dec 29 17:59:18 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.TypeError,iteration over non-sequence,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-17-59-18-38148.html
Thu Dec 29 18:00:32 2005,Main.py,../dist/servlets/restricted/Main.py,exceptions.TypeError,iteration over non-sequence,/Users/kstaken/Workspace/Syncato/syncato/webware-instance/ErrorMsgs/Error-Main.py-2005-12-29-18-00-32-38207.html
